Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
Science/TechNodes/Descriptions/tNode_0v_utility,Text,,"Landing legs on a spacecraft, what a marvelous idea!","Un train d'atterrissage sur un vaisseau, en voilà une idée géniale !",Supporti di atterraggio su un veicolo spaziale: un'idea magnifica!,"Landebeine an einem Raumfahrzeug, was für eine tolle Idee!",¡Qué idea tan maravillosa la de poner patas de aterrizaje a una nave!,宇宙船に着陸脚、なんて素晴らしいアイディアだ！,우주선의 랜딩레그는 정말이지 놀라운 아이디어입니다!,"Nogi dla statku kosmicznego, cóż za wspaniały pomysł!",Посадочные опоры для корабля! Гениально!,给航天器装着陆腿，真是个奇思妙想！,"Pernas de aterrissagem em uma espaçonave, que ideia sublime!",太空船上的著陸架，真是個了不起的主意！,"Landin' legs on a spacecraft, what a marvelous idea!","Landing legs on a spacecraft, what a marvelous idea!","Landing legs on a spacecraft, what a marvelous idea!","Landing legs on a spacecraft, what a marvelous idea!",,Localized
Science/TechNodes/Descriptions/tNode_1v_rover,Text,,"When it’s time to explore the surface of a planet, a rover is a Kerbalnaut’s best friend. These wheeled vehicles can be designed for any and all types of conditions and make traveling to alien terrains both convenient and fun.","Quand il faut explorer la surface d'une planète, le rover est le meilleur ami du Kerbonaute . Ces véhicules à roues peuvent être conçus pour tous les types de conditions de surface et font du voyage sur terre alien à la fois fun et pratique !",Camminare richiede troppo tempo.,"Wenn es Zeit ist, die Oberfläche eines Planeten zu erkunden, ist ein Rover ein Kerbalnauts bester Freund. Diese Fahrzeuge können für alle Bedingungen gestaltet werden und machen das Befahren fremder Gelände sowohl bequem als auch Spaß.",Se tarda horrores en ir andando.,歩き回るのは時間がかかりすぎます。,돌아다니면 너무 오래 걸려요.,"Kiedy nadchodzi czas na zbadanie powierzchni planety, łazik staje się najlepszym przyjacielem Kerbalnauty. Te pojazdy kołowe można zaprojektować z myślą o każdych warunkach, dzięki czemu podróżowanie po obcych terenach staje się zarówno wygodne, jak i przyjemne.",Ходить пешком слишком долго.,徒步行走太费时间了。,"Quando chega a hora de explorar a superfície de um planeta, um rover é o melhor amigo de um Kerbalnauta. Esses veículos com rodas podem ser projetados para todo tipo de condição, tornando o deslocamento por terrenos alienígenas algo prático e divertido.",走路太花時間了。,"When it be time t' explore th' surface of a planet, a rover be a Pirate's best friend. These wheeled vehicles can be designed fer any an' all types o' conditions an' make traveling t' alien terrains both convenient and fun.","When it’s time to explore the surface of a planet, a rover is a Kerbalnaut’s best friend. These wheeled vehicles can be designed for any and all types of conditions and make traveling to alien terrains both convenient and fun.","When it’s time to explore the surface of a planet, a rover is a Kerbalnaut’s best friend. These wheeled vehicles can be designed for any and all types of conditions and make traveling to alien terrains both convenient and fun.","When it’s time to explore the surface of a planet, a rover is a Kerbalnaut’s best friend. These wheeled vehicles can be designed for any and all types of conditions and make traveling to alien terrains both convenient and fun.",,Localized
Science/TechNodes/Descriptions/tNode_1v_xenon,Text,,"Ion powered engines are a breakthrough technology. They have very little thrust, but the specific impulse is unparalleled, making them extremely useful for small exploration probes. They also emit a beautiful blue glow, so what’s not to like?","Les propulseurs au xénon sont une avancée majeure ! Ils ont une poussée très faible, mais leur impulsion spécifique est inégalée, les rendant très utile pour des petites sondes d'explorations. Ils émettent également une belle lueur bleue. Tout pour plaire, n'est-ce pas ?",Più difficile da pronunciare che da costruire.,"Ionenantriebe sind eine durchschlagende Technologie. Sie haben ganz wenig Schub, aber der spezifische Impuls ist unübertroffen, was für kleine Erkundungssonden ganz nutzvoll ist. Außerdem strahlen sie ein wunderschönes Blau, was will man mehr?",Es más difícil de pronunciar que de construir.,作るよりも発音する方が難しい。,사용하는 것보다 발음하는 것이 더 어렵습니다.,"Silniki jonowe to przełomowa technologia. Chociaż generują bardzo niewielki ciąg, to ich impuls właściwy nie ma sobie równych, co sprawia, że są niezwykle przydatne w małych sondach badawczych. Emitują też piękną niebieską poświatę, więc czego tu nie lubić?","Выговорить их название труднее, чем их сделать.",请注意，这不是电磁炉。,É mais difícil de pronunciar do que de construir.,比建造還難發音。,"Ion powered engines are a breakthrough technology. They have very little thrust, but the specific impulse is unparalleled, making them extremely useful for small exploration probes. They also emit a beautiful blue glow, so what’s not to like?","Ion powered engines are a breakthrough technology. They have very little thrust, but the specific impulse is unparalleled, making them extremely useful for small exploration probes. They also emit a beautiful blue glow, so what’s not to like?","Ion powered engines are a breakthrough technology. They have very little thrust, but the specific impulse is unparalleled, making them extremely useful for small exploration probes. They also emit a beautiful blue glow, so what’s not to like?","Ion powered engines are a breakthrough technology. They have very little thrust, but the specific impulse is unparalleled, making them extremely useful for small exploration probes. They also emit a beautiful blue glow, so what’s not to like?",,Localized
Science/TechNodes/Descriptions/tNode_2v_science_01,Text,,Want to know if you can take your helmet off?,Vous voulez savoir si vous pouvez enlever votre casque ?,Vuoi sapere se puoi toglierti il casco?,"Willst du wissen, ob du deinen Helm abnehmen kannst?",¿Quieres saber si te puedes quitar el casco?,ヘルメットを外しても大丈夫か知りたいですか？,헬멧을 벗어도 되는지 알고 싶나요?,"Chcesz wiedzieć, czy można tu zdjąć hełm?","Хотите знать, можно ли снять шлем?",想不想知道能不能把头盔摘了？,Quer saber se você pode tirar o capacete?,想知道能否摘下頭盔嗎？,Want to know if you can take your helmet off?,Want to know if you can take your helmet off?,Want to know if you can take your helmet off?,Want to know if you can take your helmet off?,,Localized
Science/TechNodes/Names/tNode_0v_struts,Text,,Struts,Étais,Puntoni,Streben,Riostras,ストラット,스트럿,Rozpory,Стойки,支柱,Estruturas,支架,Struts,Struts,Struts,Struts,,Localized
Science/TechNodes/Names/tNode_3v_rockets_03,Text,,Deep Space Methalox,Méthalox pour espace profond,Methalox per lo spazio profondo,Tiefenraum-Methalox,Metalox de espacio profundo,深宇宙メタロックス,심우주 메탈록스,Silniki próżniowe na metaloks,Металоксовые двигатели для глубокого космоса,深空液氧甲烷,Metalox de Espaço Profundo,外太空液氧甲烷,Deep Space Methalox,Deep Space Methalox,Deep Space Methalox,Deep Space Methalox,,Localized
Science/TechNodes/Names/tNode_4v_hydrogen_01,Text,,XL Hydrogen Tanks,Réservoirs à hydrogène XL,Serbatoi di idrogeno XL,XL-Wasserstofftanks,Depósitos de hidrógeno XL,XL水素タンク,XL 수소 탱크,Zbiorniki wodoru XL,Очень большие топливные баки для водорода,特大氢罐,Tanques de Hidrogênio XL,XL氫氣儲存罐,XL Hydrogen Tanks,XL Hydrogen Tanks,XL Hydrogen Tanks,XL Hydrogen Tanks,,Localized
Science/TechNodes/Names/tNode_4v_rockets_01,Text,,XL Methalox Tanks,Réservoirs à méthalox XL,Serbatoi di methalox XL,XL-Methalox-Tanks,Depósitos de metalox XL,XLメタロックスタンク,XL 메탈록스 탱크,Zbiorniki metaloksu XL,Очень большие топливные баки для металокса,特大液氧甲烷燃料箱,Tanques de Metalox XL,XL液氧甲烷儲存罐,XL Methalox Tanks,XL Methalox Tanks,XL Methalox Tanks,XL Methalox Tanks,,Localized
Science/TechNodes/Names/tNode_3v_isru_01,Text,,Early ISRU,ISRU basique,ISRU base,Einfache ISRU,ISRU Temprana,Early ISRU,초기 ISRU,Wczesne ISRU,Базовая Добыча и Переработка ресурсов,早期资源原地利用（ISRU）,Early ISRU,Early ISRU,Early ISRU,Early ISRU,Early ISRU,Early ISRU,,Localized
Science/TechNodes/MysteryTechName,Text,,Mystery Tech,Technologie mystère,Tecnologia misteriosa,Mystery Tech,Mystery Tech,Mystery Tech,Mystery Tech,Mystery Tech,Mystery Tech,未知科技,Mystery Tech,Mystery Tech,Mystery Tech,Mystery Tech,Mystery Tech,Mystery Tech,,Localized
