Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
PartModules/ControlSurface/Deploy/Toggle,Text,,Toggle Control Surface Deploy,Activer/Désactiver le déploiement de la surface de contrôle,Estendi/ritrai superficie di controllo,Steueroberfläche entfalten ein/aus,Alternar despliegue de superficie de control,操縦翼面の展開を切り替える,조종면 전개 토글,Wciągnij/rozłóż powierzchnię sterową,Вкл./выкл. управляющую поверхность,开关控制面展开,Alternar superfície de controle,切換控制面展開,Toggle Control Surface Deploy,Toggle Control Surface Deploy,Toggle Control Surface Deploy,Toggle Control Surface Deploy,,Localized
PartModules/Deployable/ToggleDoors,Text,,Cargo Bay Open,Soute ouverte,Portellone,Laderaum auf,Módulo de carga abierto,カーゴベイオープン,화물칸 열림,Ładownia otwarta,Грузовой отсек открыт,货舱开启,Compartimento de carga aberto,貨艙開啟,Cargo Bay Open,Cargo Bay Open,Cargo Bay Open,Cargo Bay Open,,Localized
PartModules/Deployable/ToggleGear,Text,,Gear Extended,Équipement déployé,Dispositivo esteso,Fahrwerk ausgefahren,Tren extendido,降着装置展開済み,기어 확장됨,Podwozie wysunięte,Шасси выпущены,展开起落架,Trem de pouso estendido,起落架已展開,Gear Extended,Gear Extended,Gear Extended,Gear Extended,,Localized
PartModules/Deployable/ToggleHeatShield,Text,,Heat Shield Extended,Bouclier thermique déployé,Scudo termico esteso,Hitzeschild ausgefahren,Escudo térmico extendido,耐熱シールド展開済み,열 차폐막 확장됨,Osłona ciepłochronna rozłożona,Тепловой щит развернут,展开热防护罩,Escudo de calor estendido,隔熱罩已展開,Heat Shield Extended,Heat Shield Extended,Heat Shield Extended,Heat Shield Extended,,Localized
PartModules/Deployable/ToggleLegs,Text,,Leg Extended,Pieds déployés,Carrello esteso,Landebein ausgefahren,Pata extendida,着陸脚展開済み,다리 확장됨,Noga rozłożona,Опора выдвинута,展开支架,Perna estendida,支架已展開,Leg Extended,Leg Extended,Leg Extended,Leg Extended,,Localized
PartModules/Deployable/TogglePanels,Text,,Panels Extended,Panneaux déployés,Pannelli estesi,Module ausgefahren,Paneles extendidos,パネル展開済み,패널 확장됨,Panele rozłożone,Панели развернуты,展开面板,Painéis estendidos,面板已展開,Panels Extended,Panels Extended,Panels Extended,Panels Extended,,Localized
PartModules/Deployable/ToggleRadiator,Text,,Radiator Extended,Radiateur déployé,Radiatore esteso,Kühlmodul ausgefahren,Radiador extendido,ラジエーター展開済み,라디에이터 확장됨,Radiator rozłożony,Радиатор развернут,展开散热器,Radiador estendido,散熱器已展開,Radiator Extended,Radiator Extended,Radiator Extended,Radiator Extended,,Localized
PartModules/Generic/Tooltip/Inputs,Text,,Inputs,Entrées,Input,Eingabe,Entradas,入力,입력,Wejścia,Входы,输入,Entradas,輸入,Inputs,Inputs,Inputs,Inputs,,Localized
PartModules/Generic/Tooltip/Outputs,Text,,Outputs,Sorties,Output,Leistung,Rendimiento,出力,출력,Wyjścia,Выходы,输出,Saídas,輸出,Outputs,Outputs,Outputs,Outputs,,Localized
PartModules/Light/BlinkOn,Text,,Blink Enabled,Clignotement activé,Lampeggiante,Blinken aktiviert,Parpadeo habilitado,点滅有効,점멸 활성화됨,Miganie włączone,Мигание включено,打开灯光闪烁,Piscada habilitada,已啟用閃燈,Blink Enabled,Blink Enabled,Blink Enabled,Blink Enabled,,Localized
PartModules/Light/BlinkRate,Text,,Blink Period,Période de clignotement,Frequenza lampeggio,Blinkdauer,Período parpadeo,点滅期間,점멸 주기,Częstotliwość migania,Частота мигания,闪烁周期,Frequência da piscada,閃燈週期,Blink Period,Blink Period,Blink Period,Blink Period,,Localized
PartModules/Light/LightEmission,Text,,Emission Enabled,Émission activée,Proiezione luce,Emission aktiviert,Emisión habilitada,光照射有効,발광 활성화됨,Emisja włączona,Излучение включено,发光已启用,Emissão habilitada,已啟用發光,Emission Enabled,Emission Enabled,Emission Enabled,Emission Enabled,,Localized
PartModules/Light/LightSwitch,Text,,Light Enabled,Lumière activée,Luce,Licht aktiviert,Luz habilitada,ライト有効,조명 활성화됨,Światło włączone,Освещение включено,打开灯光,Luz habilitada,已啟用燈,Light Enabled,Light Enabled,Light Enabled,Light Enabled,,Localized
PartModules/Light/ToggleEmission,Text,,Toggle Emission,Activer/Désactiver émission,Attiva/disattiva proiezione,Emission ein/aus,Alternar emisión,光照射を切り替える,방출 토글,Wł./wył. emisję,Включить/отключить излучение,开关发光,Alternar emissão,切換排放,Toggle Emission,Toggle Emission,Toggle Emission,Toggle Emission,,Localized
PartModules/LitPart/LightEnabled,Text,,Crew Light Enabled,Lumière de l'équipage activée,Luce equipaggio,Crewlichte aktiviert,Luz de tripulación habilitada,乗組員ライト有効,승무원 조명 활성화됨,Światła załogowe włączone,Освещение экипажа включено,启用乘员灯光,Luz da tripulação habilitada,已啟用機組人員燈,Crew Light Enabled,Crew Light Enabled,Crew Light Enabled,Crew Light Enabled,,Localized
PartModules/Parachute/ChuteSafety,Text,,Chute Safety,Sûreté du déploiement,Sicurezza paracadute,Fallschirmsicherheit,Seguridad de paracaídas,パラシュート安全性,전개 안전도,Możliwość rozłożenia,Безопасность парашюта,降落伞安全性,Segurança do paraquedas,展開降落傘安全性,Chute Safety,Chute Safety,Chute Safety,Chute Safety,,Localized
PartModules/Procedural/Wings/Tip,Text,,Wing Tip,Saumon d'aile,Punta dell'ala,Flügelspitze,Punta alar,翼の先端,날개 팁,Końcówka skrzydła,Верхушка крыла,翼尖,Extremidade da asa,翼尖,Wing Tip,Wing Tip,Wing Tip,Wing Tip,,Localized
PartModules/Procedural/Wings/TipAngle,Text,,Tip Angle,Angle du saumon,Angolo punta,Spitzenwinkel,Ángulo de punta,先端角,팁 각도,Kąt przechylenia,Угол верхушки,翼尖角度,Ângulo da extremidade,尖角,Tip Angle,Tip Angle,Tip Angle,Tip Angle,,Localized
