Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
Menu/Cheats/General/Overlays/ShowHeatGUI,Text,,Show Heat GUI,Afficher l'interface de chaleur,Mostra UI calore,Wärme-GUI anzeigen,Mostrar IUG térmica,熱GUIを表示,열 GUI 표시,Pokaż interfejs cieplny,Показать интерфейс термоданных,显示热量界面,Mostrar IGU de Calor,顯示熱力圖形使用者介面,Show Heat GUI,Show Heat GUI,Show Heat GUI,Show Heat GUI,,Localized
Stock/VAB/Stock06_Lander_Description,Text,,"Affectionately named for its spider like legs, the Arachnid is built for landing on lower gravity bodies and then returning its crew safely to orbit. Caution: all warranties void when landing on high-gravity planets.","Affectueusement surnommé ainsi en raison de ses pieds rappelant des pattes d'araignée, l'Arachnide a été construit pour atterrir sur des corps célestes à faible gravité puis ramener son équipage en orbite en toute sécurité. Attention : la garantie sera annulée en cas d'atterrissage sur une planète à forte gravité.","L'Aracnide, chiamato così per i suoi supporti di atterraggio simili alle zampe di un ragno, è progettato per atterrare su corpi celesti a bassa gravità e tornare in orbita in tutta sicurezza. Attenzione: decade la garanzia se si atterra su pianeti ad alta gravità.","Die Arachnid wurde liebevoll nach ihren spinnenähnlichen Beinen benannt und für die Landung auf Himmelskörpern mit geringer Schwerkraft konzipiert, nach der ihre Crew sicher wieder in den Orbit kehren soll. Achtung: Die Garantie erlischt samt und sonders, wenn du versuchst, auf Himmelskörpern mit hoher Schwerkraft zu landen.","Cariñosamente llamado así por sus patas de araña, el Arácnido está pensado para aterrizar en cuerpos de menor gravedad y, luego, devolver a su tripulación a la órbita de manera segura. Precaución: todas las garantías quedarán anuladas en el caso de aterrizaje en planetas de alta gravedad.",クモのような脚にちなんで親しみを込めて名付けられたアラクニド（クモ）は、低重力の天体に着陸し、乗組員を安全に軌道に戻すために設計されています。注：高重力の惑星に着陸すると保証はすべて無効になります。,아라크니드는 거미처럼 생긴 다리 덕분에 사랑스러운 이름이 지어졌습니다. 아라크니드는 중력이 낮은 행성에 착륙한 후 승무원들을 다시 안전하게 궤도로 복귀시킬 수 있도록 설계되었죠. 주의: 중력이 강한 행성에 착륙한다면 모든 보증은 철회됩니다.,Nazwa tego pojazdu wzięła się od „pajęczych” nóg. Pajęczak został zbudowany na potrzeby lądowania na obiektach mających słabą grawitację i powracania z załogą bezpiecznie na orbitę. Uwaga: lądowanie na planetach o dużej sile ciążenia spowoduje utratę gwarancji.,"«Арахнид», прозванный так из-за своих тонких паучьих ног, предназначен для того, чтобы сесть на небесное тело с низкой силой тяжести, а затем вернуть экипаж на орбиту. Предупреждаем: при посадке на планету с высокой силой тяжести гарантия аннулируется.",蛛形纲由于拥有蜘蛛般的大长腿而获得这个亲昵的称呼。它专为在低重力天体上着陆，然后将乘员安全地送回轨道而建造。注意：如果在高重力行星上着陆，则一切保修均告失效。,"Carinhosamente batizado por conta de suas pernas que lembram patas de aranha, o Aracnídeo foi feito para pousar em corpos celestes de baixa gravidade e levar a tripulação de volta para a órbita em segurança. Cuidado: você perde a garantia se pousar em um planeta de alta gravidade.",「蛛形綱動物號」以其蜘蛛腿般的支架而得名，專為在較低重力天體上著陸，然後將其機組人員安全送回軌道而建造。注意：在高重力行星上著陸時，所有保證都將失效。,"Affectionately named for its spider like legs, the Arachnid is built for landing on lower gravity bodies and then returning its crew safely to orbit. Caution: all warranties void when landing on high-gravity planets.","Affectionately named for its spider like legs, the Arachnid is built for landing on lower gravity bodies and then returning its crew safely to orbit. Caution: all warranties void when landing on high-gravity planets.","Affectionately named for its spider like legs, the Arachnid is built for landing on lower gravity bodies and then returning its crew safely to orbit. Caution: all warranties void when landing on high-gravity planets.","Affectionately named for its spider like legs, the Arachnid is built for landing on lower gravity bodies and then returning its crew safely to orbit. Caution: all warranties void when landing on high-gravity planets.",,Localized
AutoSave/DisplayName/Individual/SOIChange,Text,,AutoSave-SOI Change {0},Sauvegarde auto - Changement de SDI {0},Salvataggio automatico-Transizione SdI {0},Automatischer Spielstand - Wechsel der SOI {0},Guardado automático {0} - Cambio de EdI,オートセーブ - SOI変更 {0},자동저장-SOI 변경 {0},Autozapis–Zmiana SG {0},Автосохранение-Изменение СТ {0},自动保存-SOI改变{0},Salvamento automático-Mudança de EDI {0},自動儲存-SOI變更{0},AutoSave-SOI Change {0},AutoSave-SOI Change {0},AutoSave-SOI Change {0},AutoSave-SOI Change {0},,Localized
AutoSave/DisplayName/Individual/VesselSplashed,Text,,AutoSave-Vessel Splashed {0},Sauvegarde auto - Vaisseau amerri {0},Salvataggio automatico-Veicolo ammarato {0},Automatischer Spielstand - Raumfahrzeug gewassert {0},Guardado automático {0} - Nave amerizada,オートセーブ - 機体着水 {0},자동저장-기체 충돌 {0},Autozapis–Po wodowaniu {0},Автосохранение-Аппарат совершил посадку на воду {0},自动保存-航天器海降{0},Salvamento automático-Nave à deriva {0},自動儲存-載具已下水{0},AutoSave-Vessel Splashed {0},AutoSave-Vessel Splashed {0},AutoSave-Vessel Splashed {0},AutoSave-Vessel Splashed {0},,Localized
AutoSave/DisplayName/Shared/SOIChange,Text,,AutoSave {0}-SOI Change,Sauvegarde auto {0} - Changement de SDI,Salvataggio automatico {0}-Transizione SdI,Automatischer Spielstand {0} - Wechsel der SOI,Guardado automático {0} - Cambio de EdI,オートセーブ {0} - SOI変更,자동저장 {0}-SOI 변경,Autozapis {0}–Zmiana SG,Автосохранение {0}-Изменение СТ,自动保存{0}-SOI改变,Salvamento automático {0}-Mudança de EDI,自動儲存{0}-SOI變更,AutoSave {0}-SOI Change,AutoSave {0}-SOI Change,AutoSave {0}-SOI Change,AutoSave {0}-SOI Change,,Localized
AutoSave/DisplayName/Shared/VesselSplashed,Text,,AutoSave {0}-Vessel Splashed,Sauvegarde auto {0} - Vaisseau amerri,Salvataggio automatico {0}-Veicolo ammarato,Automatischer Spielstand {0} - Raumfahrzeug gewassert,Guardado automático {0} - Nave amerizada,オートセーブ {0} - 機体着水,자동저장 {0}-기체 충돌,Autozapis {0}–Po wodowaniu,Автосохранение {0}-Аппарат совершил посадку на воду,自动保存{0}-航天器海降,Salvamento automático {0}-Nave à deriva,自動儲存{0}-載具已下水,AutoSave {0}-Vessel Splashed,AutoSave {0}-Vessel Splashed,AutoSave {0}-Vessel Splashed,AutoSave {0}-Vessel Splashed,,Localized
ISRU/Variants/TankType,Text,,Tank type,Type de réservoir,Tipo di tanica,Tanktyp,Tipo de depósito,Tank type,탱크 종류,Rodzaj zbiornika,Тип Бака,储罐类型,Tipo de tanque,Tank type,Tank type,Tank type,Tank type,Tank type,,Localized
Menu/Main/ReduxCredits,Text,,Redux Credits,Crédits Redux,Crediti Redux,Redux Mitwirkende,Créditos Redux,Redux Credits,Redux 크레딧,Twórcy Redux,Redux: Авторы,Redux制作组,Créditos do Redux,Redux Credits,Redux Credits,Redux Credits,Redux Credits,Redux Credits,,Localized
Menu/Main/KSP2 Redux Credits,Text,,// REDUX CREDITS,// CRÉDITS REDUX,// CREDITI REDUX,// REDUX MITWIRKENDE,// CRÉDITOS REDUX,// REDUX CREDITS,// REDUX 크레딧,// TWÓRCY REDUX,// АВТОРЫ REDUX,//Redux制作组,//CRÉDITOS DO REDUX,// REDUX CREDITS,// REDUX CREDITS,// REDUX CREDITS,// REDUX CREDITS,// REDUX CREDITS,,Localized
Redux/BugReporter/ReportTitle,Text,,Report title *,Titre du rapport *,Titolo report *,Meldungstitel *,Título del reporte *,Report title *,신고 제목 *,Tytuł raportu *,Название отчета *,报告标题*,Título do relatório *,Report title *,Report title *,Report title *,Report title *,Report title *,,Localized
