Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
Menu/Settings/Show Navball in Map View,Text,,Show Navball in Map View,Afficher la navisphère en mode Carte,Mostra NaviSfera in visuale mappa,NavKugel in Kartenansicht anzeigen,Mostrar bola de navegación en la vista de mapa,マップビューの姿勢指示器を自動で非表示にする,맵뷰에서 네비볼 보이기,Pokaż Busolę w Widoku Mapy,Показывать сферу навигации в режиме карты,地图视图显示导航球,Exibir NavBall na visualização do mapa,在地圖檢視中自動隱藏導航球,Show th' Navball in charter view,Покажи навигациону лопту у погледу мапе,Show Navball in Map View,Afișează Navball în Vizualizarea Hărții,,Localized
Menu/Settings/Descriptions/EnhanceJointsMode,Text,,"The chosen option here controls what part in a vessel any additional joints will connect to:

* Heaviest: connect to the part with the greatest mass.
* Root: connect to the part that represents the vessel.
* GrandParent: connect to the part that is 2 parts closer to the root.","L'option choisie ici détermine sur quelle pièce d'un vaisseau les articulations supplémentaires viendront s'attacher :
 
 * Plus lourde : s'attachent à la pièce dont la masse est la plus importante.
 * Racine : s'attachent à la pièce qui représente le vaisseau.
 * Grand-parent : s'attachent à la pièce la plus proche de deux pièces de la racine.","L'opzione selezionata regola le parti del veicolo a cui verranno collegate le giunzioni aggiuntive:
 
 * Più pesante: collegamento alla parte con la massa maggiore.
 * Radice: collegamento alla parte fondamentale del veicolo.
 * Origine: collegamento alla parte che si trova distante 2 parti dalla radice.","Die gewählte Option hier bestimmt, an welchem Teil eines Raumfahrzeugs zusätzliche Verbindungen angebracht werden:
 
 * Gewicht: Teile werden mit dem Teil mit der größten Masse verbunden.
 * Verankerung: Teile werden mit dem Verankerungsteil des Raumfahrzeugs verbunden.
 * Vorläufer: Teile werden mit dem Teil verbunden, das mindestens zwei Teile näher am Verankerungsteil sitzt.","Esta opción designa a qué pieza de la nave se conectarán las juntas adicionales:
 
 * Más pesada: conectar a la pieza de mayor masa.
 * Raíz: conectar a la pieza que representa la nave.
 * Pieza abuela: conectar a la pieza que está 2 espacios más próxima a la de raíz.","ここで選択されたオプションは、機体のどのパーツに追加のジョイントが接続されるかを制御します。
 
 * 最重量パーツ：質量が最大のパーツに接続します。
 * ルートパーツ：機体の基準となるパーツに接続します。
 * 前々パーツ：ルートパーツの2つ前のパーツに接続します。","선택한 옵션은 기체 내에 추가되는 조인트가 어떤 부위에 연결될지를 설정합니다:
 
 * 무거운부품: 중량이 가장 큰 부품에 연결됩니다.
 * 기본부품: 기체의 기본부품에 연결됩니다.
 *중심부품: 기본부품에서 가까운 2개의 부품에 연결됩니다.","Opcja wybrana w tym miejscu decyduje o tym, do której części w pojeździe przyłączą się dodatkowe złącza:
 
 * Najcięższa: przyłączą się do części o największej masie.
 * Macierzysta: przyłączą się do części stanowiącej resztę pojazdu.
 * Przodek: przyłączą się do części odległej o dwie od części macierzystej.","От данной функции зависит, к какой части корабля будут добавлены дополнительные соединения:
 
 * Массивная: добавить к детали, обладающей самой большой массой.
 * Базовая: добавить к детали, которая символизирует собой аппарат.
 * Через одну: добавить к детали, которая на 2 детали ближе к базовой.","此处选择的选项会影响额外关节与载具上哪个部件相连：
 
 *最重部件：与质量最大的部件相连。
 *根部件：与代表载具本身的部件相连。
 *上级部件：与距离根部件更近2个部件的部件相连","A opção escolhida aqui controla qual parte de uma nave quaisquer juntas adicionais serão conectadas:
 
 * Mais pesada: conecte à parte com maior massa.
 * Raiz: conecte à parte que representa a nave.
 * Origem: conecte à parte que está 2 vezes mais próxima da raiz.","此處選擇的選項可控制額外接頭將連接到載具的哪個部分：
 
 *最重：連接到質量最重的部分。
 *根部：連接到代表載具的部分。
 * 祖父節點：連接到距根部更近2個零件的部分。","The chosen option here controls what part in a vessel any additional joints will connect to:

* Heaviest: connect to the part with the greatest mass.
* Root: connect to the part that represents the vessel.
* GrandParent: connect to the part that is 2 parts closer to the root.","The chosen option here controls what part in a vessel any additional joints will connect to:

* Heaviest: connect to the part with the greatest mass.
* Root: connect to the part that represents the vessel.
* GrandParent: connect to the part that is 2 parts closer to the root.","The chosen option here controls what part in a vessel any additional joints will connect to:

* Heaviest: connect to the part with the greatest mass.
* Root: connect to the part that represents the vessel.
* GrandParent: connect to the part that is 2 parts closer to the root.","The chosen option here controls what part in a vessel any additional joints will connect to:

* Heaviest: connect to the part with the greatest mass.
* Root: connect to the part that represents the vessel.
* GrandParent: connect to the part that is 2 parts closer to the root.",,Localized
Menu/Settings/Descriptions/MultiJointEnable,Text,,"The Multi-Joint system adds a ring of joints at configured part to part connections.

These are preconfigured joints on specific parts and not dynamic like the Enhanced Joints System.","Le système d'articulations multiples ajoute un cercle d'articulations aux connexions de pièce à pièce.
 
 Ces articulations sont préconfigurées sur des pièces spécifiques et pas dynamiques comme le système d'articulations améliorées.","Il sistema multi-giunzione aggiunge un anello di giunti nelle connessioni configurate tra le parti.

Si tratta di giunti preconfigurati su parti specifiche e non dinamici come quelli del sistema Enhanced Joints.","Mit dem Multi-Verbindungssystem wird ein Verbindungsring an konfigurierten Teil-zu-Teil-Verbindungen hinzugefügt.
 
 Dabei handelt es sich um vorkonfigurierte Verbindungen an bestimmten Teilen und nicht um dynamische Verbindungen wie beim Verbesserten Verbindungssystem.","Añade un conjunto de juntas a las conexiones pieza con pieza.
 
 Se trata de juntas configuradas previamente para determinadas piezas, por lo que no son tan dinámicas como las del Sistema de juntas mejoradas.","マルチジョイントシステムは、構成されたパーツとパーツの接続部にリング状のジョイントを追加します。
 
 これらのジョイントは特定のパーツに合わせて事前構成されているもので、エンハンスドジョイントシステムのようなダイナミックなシステムではありません。","다중 연결부 시스템은 부품간 연결에 조인트 링을 추가합니다.
 
 이는 특정 부품에 미리 구성된 조인트로, 개선된 연결부 시스템처럼 동적이지 않습니다.","System wielozłączowy dodaje pierścień złączy w skonfigurowanych połączeniach między częściami.
 
 Są to stałe złącza na określonych częściach, a nie dynamiczne jak w systemie ulepszonych złączy.","Система мульти-соединений добавляет кольцо соединений к заданным соединениям деталей.
 
 Это заранее заданные соединения для конкретных деталей, а не динамически меняющиеся, как в «Улучшенной системе соединений».","多关节系统会在部件连接处的配置部件上增加关节环。
 
 这类预配置关节属于特定部件，不具备强化关节系统的动态性。","O Sistema Multijuntas adiciona um aro de juntas nas conexões configuradas entre as peças.
 
 Essas juntas são pré-configuradas em peças específicas e não são dinâmicas como o Sistema de Juntas Aprimoradas.","多接頭系統在配置的零件與零件連接處新增一圈接頭。
 
 這些接頭是特定零件上的預先配置的接頭，而不像增強接頭系統那樣是動態的。","The Multi-Joint system adds a ring of joints at configured part to part connections.

These are preconfigured joints on specific parts and not dynamic like the Enhanced Joints System.","The Multi-Joint system adds a ring of joints at configured part to part connections.

These are preconfigured joints on specific parts and not dynamic like the Enhanced Joints System.","The Multi-Joint system adds a ring of joints at configured part to part connections.

These are preconfigured joints on specific parts and not dynamic like the Enhanced Joints System.","The Multi-Joint system adds a ring of joints at configured part to part connections.

These are preconfigured joints on specific parts and not dynamic like the Enhanced Joints System.",,Localized
Menu/Settings/Descriptions/ScatterClutter Draw Distance,Text,,"Environment Props are the random rocks and trees scattered around the terrain. 

Toggle Environment Prop draw distance low, medium, or high. 

Lower settings can improve performance.","Les éléments d'environnement sont les rochers et arbres répartis aléatoirement sur le terrain. 
 
  
 
 Choisir la distance d'affichage des éléments d'environnement : basse, moyenne, élevée.
 
  
 
 Une distance plus faible peut améliorer les performances.","Gli elementi ambientali sono le rocce e gli alberi sparsi sul terreno. 

 Seleziona il livello di distanza di rendering degli elementi ambientali: basso, medio o alto. 
 
 Un livello più basso può migliorare le prestazioni.","Umgebungseigenschaften sind zufällige Felsen und Bäume, die im Gelände verteilt sind.
 
  
 
 Anziehungsentfernung von Umgebungseigenschaften niedrig, mittel oder hoch.
 
  
 
 Eine niedrigere Einstellung kann die Leistung verbessern.","Los elementos del entorno son las rocas y árboles que hay dispersos por el terreno. 
 
 Puedes cambiar la línea de horizonte de los elementos del entorno a baja, media o alta. 
 
 Los ajustes más bajos pueden mejorar el rendimiento.","環境プロップとは、地形にランダムに配置される岩と木の設定です。
 
  
 
  環境プロップのドローディスタンスを低/標準/高で切り替えます。
 
  
 
  低レベルに設定するとパフォーマンスが向上します。","환경 프롭은 지형 여기저기에 무작위로 흩어져 있는 바위와 나무입니다. 
 
 환경 프롭 가시 거리를 낮음/보통/높음으로 전환합니다. 
 
 설정을 낮추면 게임 성능이 향상될 수 있습니다.","Elementy otoczenia to losowo rozmieszczane kamienie i drzewa, rozproszone po terenie.
 
 Przełącz odległość rysowania elementów otoczenia na małą, średnią lub dużą.
 
 Niższe ustawienie może zwiększyć szybkość działania gry.","«Мусор» — это маленькие объекты среды, такие как камни и деревья.
 
 Изменить расстояние, на котором появляется мусор. 
 
 Выберите низкий уровень параметра, чтобы повысить производительность.","环境道具是散布在地形各处的随机岩石和树木。

 将环境道具绘制距离切换为低、中或高。

 设置为较低可提高游戏性能。","Itens do ambiente são as rochas e árvores espelhadas pelo terreno. 
 
 É possível alternar a distância de dispersão dos itens do ambiente entre baixo, médio e alto. 
 
 Configurações menores podem ajudar a melhorar o desempenho.","環境物體是散落在地形周圍的隨機岩石和樹木。

 可將環境物體繪製距離切換為近、中或遠。

 較近的設定可以提高效能。","Environment Props are the random rocks and trees scattered around the terrain. 

Toggle Environment Prop draw distance low, medium, or high. 

Lower settings can improve performance.","Environment Props are the random rocks and trees scattered around the terrain. 

Toggle Environment Prop draw distance low, medium, or high. 

Lower settings can improve performance.","Environment Props are the random rocks and trees scattered around the terrain. 

Toggle Environment Prop draw distance low, medium, or high. 

Lower settings can improve performance.","Environment Props are the random rocks and trees scattered around the terrain. 

Toggle Environment Prop draw distance low, medium, or high. 

Lower settings can improve performance.",,Localized
Menu/Settings/DockingTolerance,Text,,Tolerance Distance for Docking,Tolérance de distance pour l'amarrage,Distanza accettabile per l'attracco,Entfernungstoleranz für das Andocken,Tolerancia de distancia para acoplamiento,ドッキングの許容距離,도킹 완료 거리,Tolerancja odległości przy dokowaniu,Допустимое расстояние стыковки,对接公差距离,Tolerância de distância para acoplar,對接公差距離,Tolerance Distance for Docking,Tolerance Distance for Docking,Tolerance Distance for Docking,Tolerance Distance for Docking,,Localized
Menu/Settings/Global/ToggleUIVisibility,Text,,Toggle UI Visibility,Activer/Désactiver l'affichage de l'IU,Mostra/Nascondi interfaccia,Interface ein-/ausblenden,Mostrar/ocultar visibilidad de la IU,全てのUIの表示/非表示,UI 표시 전환,Wł./wył. wyświetlanie interfejsu,Показать/скрыть интерфейс,切换无UI模式,Alternar visibilidade da interface,切換UI顯示,Toggle UI Visibility,Toggle UI Visibility,Toggle UI Visibility,Toggle UI Visibility,,Localized
Menu/Settings/HeatEnabled,Text,,Heat Enabled,Chaleur activée,Simulazione termica,Wärme aktiviert,Calor habilitado,熱制御有効,열 활성화,Efekty ciepła włączone,Тепло включено,启用热量,Aquecimento habilitado,啟用高溫,Heat Enabled,Heat Enabled,Heat Enabled,Heat Enabled,,Localized
Menu/Settings/HeatPartDestruction,Text,,Part Overheating,Surchauffe des pièces,Surriscaldamento parti,Teileüberhitzung,Sobrecalentamiento de piezas,パーツのオーバーヒート,부품 과열,Przegrzanie części,Деталь перегревается,部件过热,Peça superaquecendo,零件過熱,Part Overheating,Part Overheating,Part Overheating,Part Overheating,,Localized
Menu/Settings/Joints/EnhanceEnableName,Text,,Enhanced Joints System,Système d'articulations améliorées,Sistema di giunzione avanzato,Verbessertes Verbindungssystem,Sistema de juntas mejoradas,エンハンスドジョイントシステム,개선된 연결부 시스템,System ulepszonych złączy,Улучшенная система соединений,强化关节系统,Sistema de Juntas Aprimoradas,增強型接頭系統,Enhanced Joints System,Enhanced Joints System,Enhanced Joints System,Enhanced Joints System,,Localized
Menu/Settings/Joints/EnhanceModeName,Text,,Enhanced Joints Mode,Mode d'articulations améliorées,Modalità di giunzione avanzata,Verbesserter Verbindungsmodus,Modo de juntas mejoradas,エンハンスドジョイントモード,개선된 연결부 모드,Tryb ulepszonych złączy,Режим улучшенных соединений,强化关节模式,Modo de Juntas Aprimoradas,增強接頭模式,Enhanced Joints Mode,Enhanced Joints Mode,Enhanced Joints Mode,Enhanced Joints Mode,,Localized
