Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
Menu/TrackingStation/InfoPanel/Notification,Text,,Notification,Notification,Notifica,Benachrichtigung,Notificación,通知,알림,Powiadomienie,Извещение,通知,Notificação,通知,Message O Bottle,Notification,Notification,Notification,,Localized
Menu/TrackingStation/Synopsis/Gilly,Text,,"Gilly is one of the smallest celestial bodies in the Kerbolar system. In fact, it took years to officially discover because researchers mistook it for a crumb on their telescope lenses. Its gentle gravitational pull and lack of atmosphere often leads to objects bouncing off its surface and back into orbit around Eve. Please be cautious when taking brisk walks.",Gilly est l'un des plus petits corps célestes du système kerbolaire. Il a même mis des années à être officiellement découvert parce que les chercheurs pensaient qu'il s'agissait d'une miette sur la lentille de leur télescope. Sa faible gravité et son absence d'atmosphère font que beaucoup d'objets ont tendance à rebondir à sa surface et à retourner en orbite autour d'Eve. Attention à ne pas sauter trop haut si vous vous trouvez à sa surface.,"Gilly è uno dei corpi celesti più piccoli del sistema kerbolare, tanto che ci vollero anni per scoprirla ufficialmente, dato che gli scienziati la scambiarono per una briciola incastrata sulle lenti del loro telescopio. A causa della sua delicata attrazione gravitazionale e dell'assenza di atmosfera, spesso gli oggetti rimbalzano sulla sua superficie e tornano in orbita intorno a Eve. Mi raccomando, fai attenzione quando esci per una passeggiata.","Gilly ist der einzige Himmelskörper im Kerbolar-System, und es hat tatsächlich Jahre gedauert, bis unseren Wissenschaftlern auffiel, dass es sich bei ihm nicht um einen Fleck auf den Linsen ihrer Teleskope handelte. Seine sanfte Schwerkraft und das Fehlen einer Atmosphäre führen oft dazu, dass Objekte von seiner Oberfläche abprallen und zurück in den Orbit von Eve geschleudert werden. Also bitte keine zackigen Spaziergänge auf Gilly unternehmen!","Gilly es el cuerpo celeste más pequeño del sistema kerbolar. Es más, su descubrimiento tardó años en hacerse oficial porque los investigadores lo confundían con una miga de pan que se había colado en la lente de sus telescopios. La suave atracción gravitacional y la falta de atmósfera a menudo hacen que los objetos reboten contra su superficie y vuelvan a la órbita que rodea Eve. Por favor, ten cuidado si te da por andar a paso ligero.",ギリー（Gilly）はカーボラー（Kerbollar）系で最も小さい天体です。実を言うと、望遠鏡のレンズについたゴミだと思われていたため、研究者たちが正式に発見するのに何年もかかりました。引力が弱く大気がないため、しょっちゅう物体がその表面に跳ね返ってイブ（Eve）の軌道に戻ります。すたすたと歩くときには気を付けてください。,길리는 커볼계에서 가장 작은 천체 중 하나입니다. 사실 연구원들이 처음 길리를 관측했을 때는 망원경 렌즈에 묻은 먼지로 착각을 했었기 때문에 공식적으로 발견되기까지는 몇 년의 시간이 더 걸렸습니다. 중력과 대기가 거의 없기 때문에 종종 길리 표면의 물체가 튕겨져 나가 이브의 궤도로 들어가기도 합니다. 길리에서 빠르게 걷게 된다면 튕겨져 나가지 않게 주의하세요.,"Gilly jest najmniejszym nazwanym ciałem niebieskim w Układzie Kerbolnym. W istocie minęło wiele lat, zanim astronomia oficjalnie uznała jego istnienie, bo wcześniej uczeni brali go za pyłek na soczewce teleskopu. Bardzo delikatna grawitacja i brak atmosfery sprawiają, że większość przedmiotów uderzających w jego powierzchnię po prostu odbija się z powrotem na orbitę wokół Eve. Uważajcie na porannych przechadzkach.","Гилли — это самое маленькое небесное тело в системе Кербола, имеющее собственное название. Он настолько крошечный, что астрономы много лет принимали его за крошку, прилипшую к линзе телескопа. У него очень низкая гравитация, а атмосфера отсутствует, поэтому часто космические объекты отскакивают от его поверхности и возвращаются на орбиту вокруг Евы. Если выйдете прогуляться по Гилли, не забывайте поглядывать наверх!",Gilly是Kerbollar星系中最小的天体之一。事实上，由于研究人员将它误当成望远镜镜头上的一颗碎屑，所以花了多年的时间才正式确立它的存在。Gilly的引力较弱，没有大气层，常常导致物体从其表面弹开，回到环绕Eve的轨道上。健步走时请多加小心。,"Gilly é o menor corpo celeste no sistema Kerbolar. Na verdade, sua descoberta demorou vários anos, pois os pesquisadores a confundiram com uma migalha nas lentes do telescópio. Sua força gravitacional suave e a falta de atmosfera fazem com que objetos ricocheteiem da superfície e entrem em órbita ao redor de Eve. Por favor, tenha cuidado ao fazer caminhadas.",吉利星是坎陽星系中最小的天體。事實上，研究人員誤以為它是望遠鏡鏡頭上的碎屑，所以花了數年時間才正式發現它。它引力低，加上缺乏大氣，經常導致物體從它的表面彈回到圍繞夏娃星的軌道上。在上面快走時請小心。,"Gilly is one of the smallest celestial bodies in the Kerbolar system. In fact, it took years to officially discover because researchers mistook it for a crumb on their telescope lenses. Its gentle gravitational pull and lack of atmosphere often leads to objects bouncing off its surface and back into orbit around Eve. Please be cautious when taking brisk walks.","Gilly is one of the smallest celestial bodies in the Kerbolar system. In fact, it took years to officially discover because researchers mistook it for a crumb on their telescope lenses. Its gentle gravitational pull and lack of atmosphere often leads to objects bouncing off its surface and back into orbit around Eve. Please be cautious when taking brisk walks.","Gilly is one of the smallest celestial bodies in the Kerbolar system. In fact, it took years to officially discover because researchers mistook it for a crumb on their telescope lenses. Its gentle gravitational pull and lack of atmosphere often leads to objects bouncing off its surface and back into orbit around Eve. Please be cautious when taking brisk walks.","Gilly is one of the smallest celestial bodies in the Kerbolar system. In fact, it took years to officially discover because researchers mistook it for a crumb on their telescope lenses. Its gentle gravitational pull and lack of atmosphere often leads to objects bouncing off its surface and back into orbit around Eve. Please be cautious when taking brisk walks.",,Localized
Menu/TrackingStation/ConfirmationDialog/CleanUpDebris,Text,,Clean up debris,Nettoyer les débris,Elimina detriti,Trümmer aufräumen,Recoger los escombros,Clean up debris,잔해 청소,Usuń śmieci,Уничтожение обломков,清空残骸,Clean up debris,Clean up debris,Clean up debris,Clean up debris,Clean up debris,Clean up debris,,Localized
Menu/TrackingStation/ConfirmationDialog/ConfirmCleanUp,Text,,Clean up,Nettoyer,Elimina,Aufräumen,Limpiar,Clean up,청소,Wyczyść,Уничтожить,清空,Clean up,Clean up,Clean up,Clean up,Clean up,Clean up,,Localized
Menu/TrackingStation/ConfirmationDialog/ConfirmCleanUpDebris,Text,,This will destroy all debris objects ({0}). Continue?,Tous les débris seront détruits ({0}). Continuer ?,Questa operazione eliminerà tutti i detriti ({0}). Continuare?,Alle Trümmerobjekten {0} werden zerstört. Fortfahren?,Esto eliminará todos los objetos de escombros ({0}). ¿Deseas continuar?,This will destroy all debris objects ({0}). Continue?,잔해로 분류된 모든 물체({0})를 삭제할까요?,Spowoduje to zniszczenie wszystkich kosmicznych śmieci ({0}). Kontynuować?,Это уничтожит все обломки ({0}). Продолжить?,将销毁所有残骸({0})？继续吗？,This will destroy all debris objects ({0}). Continue?,This will destroy all debris objects ({0}). Continue?,This will destroy all debris objects ({0}). Continue?,This will destroy all debris objects ({0}). Continue?,This will destroy all debris objects ({0}). Continue?,This will destroy all debris objects ({0}). Continue?,,Localized
Menu/TrackingStation/ConfirmationDialog/NoDebrisToCleanUp,Text,,There is no debris to clean up.,Il n'y a aucun débris à nettoyer.,Non ci sono detriti da eliminare.,Es gibt keine Trümmer zu beseitigen.,No hay escombros que limpiar.,There is no debris to clean up.,청소할 잔해가 없습니다.,Brak śmieci do usunięcia.,"Нет обломков, которые можно было бы уничтожить.",没有需要清理的残骸。,There is no debris to clean up.,There is no debris to clean up.,There is no debris to clean up.,There is no debris to clean up.,There is no debris to clean up.,There is no debris to clean up.,,Localized
Menu/TrackingStation/Tooltips/RemoveAllDebris,Text,,Remove all debris,Retirer tous les débris,Elimina tutti i detriti,Alle Trümmer entfernen,Retira todos los restos,Remove all debris,모든 잔해 삭제,Usuń wszystkie śmieci,Уничтожить все обломки,移除所有残骸,Remove all debris,Remove all debris,Remove all debris,Remove all debris,Remove all debris,Remove all debris,,Localized
Map/Info/Situation,Text,,Situation,Situation,Situazione,Situation,Situation,Situation,Situation,Situation,Situation,情况,Situation,Situation,Situation,Situation,Situation,Situation,,Localized
Map/Info/FlightSituation/Coordinates,Text,,Coordinates,Coordonnées,Coordinate,Koordinaten,Coordinates,Coordinates,Coordinates,Coordinates,Coordinates,坐标,Coordinates,Coordinates,Coordinates,Coordinates,Coordinates,Coordinates,,Localized
Map/Info/FlightSituation/Biome,Text,,Biome,Biome,Bioma,Biom,Biome,Biome,Biome,Biome,Biome,生物群落,Biome,Biome,Biome,Biome,Biome,Biome,,Localized
