Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
Parts/Title/light_0v_spot_narrow,Text,,F-PGS Narrow Spotlight,SGP-C Projecteur concentré,Proiettore fotonico focalizzato F-PGS,F-PGS kleiner Scheinwerfer,Foco estrecho F-PGS,集中型フォトニック生成システム,집중 광자 생성 시스템,Wąski reflektor F-PGS,F-PGS Узкий Прожектор,F-PGS窄幅聚光灯,Holofote Estreito F-PGS,聚焦光子生成系統,F-PGS Narrow Spotlight,F-PGS Narrow Spotlight,F-PGS Narrow Spotlight,F-PGS Narrow Spotlight,,Localized
Parts/Title/light_0v_broad,Text,,BR-PGS Broad Spotlight,SGP-GP Projecteur Large,Proiettore fotonico ad ampio raggio BR-PGS,BR-PGS großer Scheinwerfer,Foco amplio BR-PGS,広レンジフォトニック生成システム,광역 광자 생성 시스템,Szeroki Reflektor BR-PGS,BR-PGS Широкий Прожектор,BR-PGS宽幅聚光灯,Holofote Amplo BR-PGS,廣域光子生成系統,BR-PGS Broad Spotlight,BR-PGS Broad Spotlight,BR-PGS Broad Spotlight,BR-PGS Broad Spotlight,,Localized
Parts/Title/light_0v_dome,Text,,AO-PGS Domelight,SGP-AH Dôme lumineux,Proiettore fotonico aereo AO-PGS,AO-PGS Innenraumleuchte,Luz de techo AO-PGS,高機能オーバーヘッドフォトニック生成システム,고급 스탠드형 광자 생성 시스템,Kopułowe Światło AO-PGS,AO-PGS Купольный Прожектор,AO-PGS穹顶灯,Domo de Luz AO-PGS,高級置頂光子生成系統,AO-PGS Domelight,AO-PGS Domelight,AO-PGS Domelight,AO-PGS Domelight,,Localized
Parts/Title/light_0v_bulb,Text,,A-PGS Lightbulb,SGP-A Ampoule,Proiettore fotonico avanzato A-PGS,A-PGS Lampe,Bombilla A-PGS,高機能フォトニック生成システム,고급 광자 생성 시스템,Żarówka A-PGS,A-PGS Лампочка,A-PGS灯泡,Lâmpada A-PGS,高級光子生成系統,A-PGS Lightbulb,A-PGS Lightbulb,A-PGS Lightbulb,A-PGS Lightbulb,,Localized
Parts/Title/light_0v_navigation,Text,,NAV-PGS Navigation Light,SGP-NAV Lumière de navigation,Proiettore fotonico di navigazione NAV-PGS,NAV-PGS Positionsslicht,Luz de navegación NAV-PGS,高機能フォトニックナビゲーションシステム,고급 광자 항법 보조시스템,Światło Nawigacyjne NAV-PGS,NAV-PGS Навигационный Свет,NAV-PGS导航灯,Luz de Navegação NAV-PGS,高級光子導航系統,NAV-PGS Navigation Light,NAV-PGS Navigation Light,NAV-PGS Navigation Light,NAV-PGS Navigation Light,,Localized
Parts/Title/light_0v_spot,Text,,HI-PGS Spotlight,SGP-HI Projecteur,Proiettore fotonico ad alta intensità HI-PGS,HI-PGS Scheinwerfer,Foco HI-PGS,高強度フォトニック生成システム,고휘도 광자 생성 시스템,Reflektor HI-PGS,HI-PGS Прожектор,HI-PGS聚光灯,Holofote HI-PGS,高強度光子生成系統,HI-PGS Spotlight,HI-PGS Spotlight,HI-PGS Spotlight,HI-PGS Spotlight,,Localized
Parts/Title/light_0v_strip,Text,,2D-PGS Light Strip,SGP-2D Bande lumineuse,Proiettore fotonico bidimensionale 2D-PGS,2D-PGS Lichtleiste,Tira de luz 2D-PGS,二次元フォトニック生成システム,2차원 광자 생성 시스템,Pasek Świetlny 2D-PGS,2D-PGS Световая Полоса,2D-PGS灯带,Fita de Luz 2D-PGS,二維光子生成系統,2D-PGS Light Strip,2D-PGS Light Strip,2D-PGS Light Strip,2D-PGS Light Strip,,Localized
Parts/Description/adapter_1v_bullet_methalox_0v-1v,Text,,Adding nosecones is an aerodynamic breeze with the NCS Adapter. Take advantage of that hollow space to sneak in a little more fuel!,Ajouter une coiffe est l'enfance de l'art de l'aérodynamisme grâce à l'adaptateur SC. Profitez de cet espace creux pour embarquer un tout petit peu plus de carburant !,"Con un adattatore SOA, aggiungere ogive diventa una passeggiata di aerodinamica. Sfrutta quello spazio vuoto e piazzaci altro carburante!","Das Anbringen von Bugnasen ist mit dem NCS-Adapter ein echtes Kinderspiel. Nutze den Hohlraum, um etwas mehr Treibstoff an Bord zu schmuggeln!",Añadir narices cónicas con el adaptador NCS está aerodinámicamente chupado. ¡Aprovecha ese espacio hueco para colar un poco más de combustible!,NCSアダプターを使用してノーズコーンを取り付けると、エアロダイナミクス効果を得ることができます。空洞を利用すれば、さらに燃料を忍ばせることもできます！,NCS 어댑터를 사용하여 노즈콘에 공기역학적 특징을 더해줄 수 있습니다. 그리고 빈 공간에는 추가 연료를 채워 넣을 수도 있죠.,"Dzięki przejściówce NCS dodawanie stożków dziobowych jest jak szybka bryza. Wykorzystaj to puste miejsce, by przemycić trochę więcej paliwa!","С адаптером «СНОб» установка носовых обтекателей превращается в легкую, словно аэродинамический ветерок, задачу. Разместите в появившейся полости еще немного топлива!",使用NCS转接器添加头锥在空气动力学上是件轻而易举的事。利用那个空腔可以偷偷多塞进去一点点燃料！,"Com o Adaptador NCS, ficou aerodinamicamente muito fácil acoplar ogivas. Aproveite aquele espaço vazio para colocar um pouco mais de combustível!",使用NCS適配器添加鼻錐以符合空氣動力。利用它的中空部位能搭載更多燃料！,Addin' nosecones be an aerodynamic breeze wit' the NCS Adapter. Take advantage o' that hollow space t' sneak in a wee bit more fuel!,Adding nosecones is an aerodynamic breeze with the NCS Adapter. Take advantage of that hollow space to sneak in a little more fuel!,Adding nosecones is an aerodynamic breeze with the NCS Adapter. Take advantage of that hollow space to sneak in a little more fuel!,Adding nosecones is an aerodynamic breeze with the NCS Adapter. Take advantage of that hollow space to sneak in a little more fuel!,,Localized
Parts/Description/antenna_0v_dish_ra-15,Text,,"The RA-15 is a small, static antenna, good for long chats with Mission Control and sledding on Minmus.
 (Note: Mission Control does NOT sanction Minmus sledding while on duty)","La RA-15 est une petite antenne statique parfaite pour les longues discussions avec le Contrôle mission ou pour faire de la luge sur Minmus.
 (Remarque : le Contrôle mission déconseille fortement de faire de la luge sur Minmus en service)","La RA-15 è una piccola antenna statica, ideale per fare delle lunghe chiacchierate con la squadra del Controllo Missioni. È ottima anche come slitta su Minmus.
(Nota: il Controllo Missioni NON autorizza l'uso di slitte in servizio)","Die RA-15 ist eine kleine statische Antenne und eignet sich bestens für ausführliche Schwätzchen mit dem Missionszentrum und zum Rodeln auf Minmus.
 (Hinweis: Das Rodeln auf Minmus ist während der Dienstzeit NICHT gestattet)","La RA-15 es una pequeña antena estática. Ideal para estar de palique con Control de misión o lanzarse en trineo en Minmus.
 (Nota: Control de misión NO autoriza los lanzamientos en trineo en Minmus en horario laboral).","RA-15は小型の静止アンテナで、ミッションコントロールセンターと長話をしたり、ミンマスでのソリ滑りにおすすめです。
 （注：ミッションコントロールセンターは任務中のミンマスでのソリ滑りは許可していません）","RA-15는 작은 고정 안테나로, 우주 비행 관제소와 긴 대화를 나누거나 민무스에서 썰매를 탈 때 유용합니다. (참고: 임무 중에는 우주 비행 관제소가 민무스에서 안테나로 썰매를 타는 것을 승인하지 않을 것입니다)","RA-15 to mała antena stała, dobra do długich rozmów z z kontrolą misji oraz zjeżdżania na niej z górek na Minmusie.
 (Uwaga: Kontrola misji NIE zatwierdziła używania anteny jako alternatywy dla popularnego jabłuszka – saneczkarstwo na Minmusie jest niemile widziane w trakcie pełnienia obowiązków służbowych!)","RA-15 — маленькая неподвижная антенна, идеально подходящая для долгих разговоров с Центром аэрокосмических программ. Кроме того, на ней можно кататься по Минмусу как на санках.
 (Примечание: Центр аэрокосмических программ НЕ разрешает кататься по Минмусу как на санках в рабочее время)","RA-15是一款小型静态天线，适合与任务控制中心进行长时间聊天，也适合在Minmus上滑雪。
（注：任务控制中心不允许在值班时去Minmus滑雪）","A RA-15 é uma antena estática pequena, ótima para longos bate-papos com o Controle de Missão e para fazer esquibunda em Minmus.
 (OBS.: o Controle de Missão NÃO APROVA o esquibunda em Minmus durante horário de trabalho)","RA-15是小型靜態天線，非常適合與任務控制中心進行長時間交流，以及在米姆斯星上滑雪橇。
 (注意：任務控制中心不允許值班時在米姆斯星滑雪橇)","The RA-15 is a small, static antenna, good for long chats with Mission Control and sledding on Minmus.
 (Note: Mission Control does NOT sanction Minmus sledding while on duty)","The RA-15 is a small, static antenna, good for long chats with Mission Control and sledding on Minmus.
 (Note: Mission Control does NOT sanction Minmus sledding while on duty)","The RA-15 is a small, static antenna, good for long chats with Mission Control and sledding on Minmus.
 (Note: Mission Control does NOT sanction Minmus sledding while on duty)","The RA-15 is a small, static antenna, good for long chats with Mission Control and sledding on Minmus.
 (Note: Mission Control does NOT sanction Minmus sledding while on duty)",,Localized
Parts/Description/booster_1v_solid_flea,Text,,"The RT-5 “Flea” is one of the smallest solid rocket boosters available. It was originally designed to be the largest firecracker in the world, but one of the end caps blew off, and it shot 1000 meters straight up. The KSC engineers knew they were onto something good.","Le RT-5 “Puceron” est un des plus petits propulseurs à ergol solide disponibles sur le marché, originellement conçu pour être le plus grand feu d'artifice du monde. Lors des phases de test, l'un des bouchons sauta et il s'élança de près d'un kilomètre dans le ciel. Les ingénieurs de CSK comprirent qu'ils étaient sur la bonne voie.","L'RT-5 ""Pulce"" è uno dei booster a carburante solido più piccoli sul mercato. Il progetto iniziale era di costruire il più grande petardo al mondo, ma uno dei due tappi saltò e la Pulce decollò fino a raggiungere i 1.000 metri di altezza. Gli ingegneri del CSK sentivano di aver appena fatto una grande scoperta.","Der RT-5 „Flea“ ist der kleinste erhältliche Feststoff-Raketenbooster. Er wurde ursprünglich als größter Böller der Welt erdacht, allerdings flogen die Verschlusskappen ab und er schoss 1.000 Meter in die Luft. Da wussten die Techniker von KSC, dass sie an etwas Gutem dran waren.","El RT-5 ""Pulga"" es el cohete acelerador sólido más pequeño que existe. En principio, se diseñó para ser el petardo más grande del mundo, pero una tapa de los extremos salió volando disparada a 1000 metros de altura. Los ingenieros del CEK supieron en ese momento que estaban ante algo grandioso.","RT-5 ""フリー""は、市販されている個体ロケットブースターとしては最小のものです。もともとは世界最大の爆竹として設計されましたが、エンドキャップの1つが吹き飛び、1000メートルも真上に発射されました。KSCのエンジニアたちは、いいものが見つかったと気づきました。","RT-5 ""플리""는 현존하는 가장 작은 고체로켓부스터입니다. 원래 세상에서 가장 큰 폭죽을 만들려고 했었지만, 폭발하면서 엔드캡이 날아가 버리고 고도 1,000m까지 치솟아 버렸습니다. KSC 엔지니어들은 정확히는 모르겠지만 뭔가 해냈다는 느낌을 받았다고 합니다.","RT-5 „Pchełka” jest najmniejszym dostępnym silnikiem pomocniczym na paliwo stałe. W zasadzie zaprojektowano go jako największy fajerwerk świata, ale raz zatyczka z jednego końca odpadła i ustrojstwo poleciało na kilometr w górę. Inżynierowie z KOK zrozumieli, że trafili na coś dobrego.","RT-5 «Блоха» – самый маленький из представленных на рынке твердотопливных ускорителей. Изначально он должен был стать самым крупным фейерверком в мире, но у него оторвался один из колпачков, после чего «Блоха» взлетела вверх на 1000 метров. Тогда инженеры КЦ поняли, что изобрели что-то хорошее.",RT-5“跳蚤”是市面上最小的固体火箭助推器之一。它原本是要设计成世界上最大的鞭炮，结果其中一个端盖被炸飞，径直向上弹起了1000米高。KSC工程师们因此知道，他们碰上好东西了。,"O RT-5 ""Flea"" é o menor booster de combustível sólido disponível. Foi projetado originalmente para ser o maior fogo de artifício do mundo, mas uma das tampas explodiu, voando a 1.000 metros de altura. Os engenheiros do KSC sabiam que estavam no caminho certo.",RT-5「跳蚤」是目前最小型的固態火箭助推器。它原本被設計成世界最大鞭炮，但其中一個端蓋被炸掀，因此直射1000米。坎巴拉太空中心的工程師們如獲至寶。,"The RT-5 “Flea” is one of the smallest solid rocket boosters available. It was originally designed to be the largest firecracker in the world, but one of the end caps blew off, and it shot 1000 meters straight up. The KSC engineers knew they were onto something good.","The RT-5 “Flea” is one of the smallest solid rocket boosters available. It was originally designed to be the largest firecracker in the world, but one of the end caps blew off, and it shot 1000 meters straight up. The KSC engineers knew they were onto something good.","The RT-5 “Flea” is one of the smallest solid rocket boosters available. It was originally designed to be the largest firecracker in the world, but one of the end caps blew off, and it shot 1000 meters straight up. The KSC engineers knew they were onto something good.","The RT-5 “Flea” is one of the smallest solid rocket boosters available. It was originally designed to be the largest firecracker in the world, but one of the end caps blew off, and it shot 1000 meters straight up. The KSC engineers knew they were onto something good.",,Localized
