Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
ISRU/UI/IdentityCard/Minmus,Text,,"Although Minmus' surface appears to be icy, geological data confirms it's actually just a big ball of glass. That makes it a prime source of silicon and shocked quartz, but a bad destination for sledding. We are also detecting low concentrations of elemental iron in some craters, likely deposited there by impactors over the millenia. There might also be trace ammounts of water ice in shadowed craters and the flat plains, but it would be challenging to mine them in meaningful amounts.","Bien que le surface de Minmus ait l'air gelée, les données géographiques confirment que c'est en réalité une énorme boule de verre. Cela en fait une source de silice et de quartz choqué parfaite, mais une très mauvaise destination pour faire de la luge. Nous détectons également une faible concentration de fer élémentaire dans certains cratères, certainement déposé là par des impacteurs sur des millénaires. Il y aurait peut-être aussi des quantités minuscules de glace de glace d'eau dans les cratères sombres et les plaines, mais il serait difficile de les miner en quantité suffisante.","Sebbene la superficie di Minmus' sembri ghiacciata, i dati geologici confermano che in realtà si tratta solo di una grande palla di vetro. Ciò la rende un'ottima fonte di silicio e quarzo da impatto, ma una pessima destinazione per andare in slittino. Stiamo anche rilevando basse concentrazioni di ferro elementare in alcuni crateri, probabilmente depositato lì dall'impatto di meteoriti nel corso dei millenni. Potrebbero esserci anche tracce di ghiaccio d'acqua nei crateri in ombra e nelle pianure, ma estrarle in quantità significative sarebbe una bella sfida.","Auch wenn Minmus’ Oberfläche eisig aussieht, zeigen geologische Daten, dass es in Wahrheit eine riesige Kugel aus Glas ist. Dadurch eignet sich Minmus hervorragend als Quelle für Silizium und Schockquarz, ist aber eher ungeeignet zum Schlittenfahren. In einigen Kratern lassen sich zudem geringe Mengen elementaren Eisens nachweisen, vermutlich durch Meteoriteneinschläge über Jahrtausende hinweg abgelagert. Spuren von Wassereis könnten sich in schattigen Kratern und auf den flachen Ebenen befinden, doch der Abbau in Mengen wäre schwer.","Aunque la superficie de Minmus parece estar helada, los datos geológicos confirman que en realidad es sólo una gran bola de vidrio. Esto lo convierte en una fuente importante de silicio y cuarzo impactado, pero no en un buen destino para andar en trineo. También estamos detectando bajas concentraciones de hierro elemental en algunos cráteres, probablemente depositados allí por meteoritos a lo largo de milenios. También podría haber trazas de hielo de agua en cráteres oscuros y llanuras planas, pero sería un desafío extraerlas en cantidades significativas.","Although Minmus' surface appears to be icy, geological data confirms it's actually just a big ball of glass. That makes it a prime source of silicon and shocked quartz, but a bad destination for sledding. We are also detecting low concentrations of elemental iron in some craters, likely deposited there by impactors over the millenia. There might also be trace ammounts of water ice in shadowed craters and the flat plains, but it would be challenging to mine them in meaningful amounts.","민무스의 지표면은 얼핏 얼음처럼 보이지만, 지질 분석 결과 사실은 거대한 유리 결정체에 가깝습니다. 덕분에 규소나 충격석영 같은 자원을 채굴하기엔 최적의 장소이지만, 썰매를 타고 놀기엔 아주 끔찍한 곳이죠. 또한 일부 크레이터에서는 수천 년 동안 충돌체들에 의해 축적된 것으로 보이는 낮은 농도의 원소철도 감지되고 있습니다. 영구 음영 크레이터와 평평한 평원 지대에 미량의 물 얼음이 존재할 가능성도 있으나, 의미 있는 양을 채굴하기는 꽤 까다로울 것입니다.","Chociaż powierzchnia Minmusa wydaje się lodowa, dane geologiczne potwierdzają, że w rzeczywistości jest to po prostu wielka kula szkła. To czyni ją doskonałym źródłem krzemu i kwarcu szokowego, ale kiepskim miejscem do zjeżdżania na sankach. W niektórych kraterach wykrywamy również niskie stężenia żelaza w postaci pierwiastkowej, prawdopodobnie osadzonego tam przez impaktory na przestrzeni tysiącleci. Mogą tam też występować śladowe ilości lodu wodnego w zacienionych kraterach i na płaskich równinach, jednak jego wydobycie w znaczących ilościach byłoby trudne.","Хотя поверхность Минмуса выглядит ледяной, сканы подтверждают — это просто гигантский стеклянный шарик. Отличный источник кремния и ударного кварца, но для катания на санках не годится. В некоторых кратерах есть небольшие залежи чистого железа — вероятно, притащенного астероидами за миллионы лет. В теневых кратерах и на равнинах может быть немного водяного льда, но добывать его в промышленных масштабах — та ещё задачка.",尽管Minmus表面看似覆盖着冰层，但地质数据证实，它实际上只是一个巨大的玻璃球。这使它成为硅和冲击石英的主要来源，而绝非滑雪橇的好地方。我们还在一些陨石坑中探测到低浓度的单质铁，这些铁很可能是数千年来由撞击体沉积于此的。阴影陨石坑和平坦平原中或许也存在微量水冰，但要开采到有实际意义的量会颇具挑战。,"Although Minmus' surface appears to be icy, geological data confirms it's actually just a big ball of glass. That makes it a prime source of silicon and shocked quartz, but a bad destination for sledding. We are also detecting low concentrations of elemental iron in some craters, likely deposited there by impactors over the millenia. There might also be trace ammounts of water ice in shadowed craters and the flat plains, but it would be challenging to mine them in meaningful amounts.","Although Minmus' surface appears to be icy, geological data confirms it's actually just a big ball of glass. That makes it a prime source of silicon and shocked quartz, but a bad destination for sledding. We are also detecting low concentrations of elemental iron in some craters, likely deposited there by impactors over the millenia. There might also be trace ammounts of water ice in shadowed craters and the flat plains, but it would be challenging to mine them in meaningful amounts.","Though Minmus looks like a frozen treat, the scans be tellin’ a different tale—it’s naught but a great glassy orb! A fine stash o’ silicon and shocked quartz, aye, but a poor place fer slidin’ about on yer backside. Some craters be holdin’ a smidge o’ elemental iron, likely flung there by space rocks long ago. As fer water ice, there might be a trace or two lurkin’ in the shadowy holes and flatlands, but harvestin’ it’d be like squeezin’ rum from a stone—more trouble than it’s worth, matey.","Although Minmus' surface appears to be icy, geological data confirms it's actually just a big ball of glass. That makes it a prime source of silicon and shocked quartz, but a bad destination for sledding. We are also detecting low concentrations of elemental iron in some craters, likely deposited there by impactors over the millenia. There might also be trace ammounts of water ice in shadowed craters and the flat plains, but it would be challenging to mine them in meaningful amounts.","Although Minmus' surface appears to be icy, geological data confirms it's actually just a big ball of glass. That makes it a prime source of silicon and shocked quartz, but a bad destination for sledding. We are also detecting low concentrations of elemental iron in some craters, likely deposited there by impactors over the millenia. There might also be trace ammounts of water ice in shadowed craters and the flat plains, but it would be challenging to mine them in meaningful amounts.","Although Minmus' surface appears to be icy, geological data confirms it's actually just a big ball of glass. That makes it a prime source of silicon and shocked quartz, but a bad destination for sledding. We are also detecting low concentrations of elemental iron in some craters, likely deposited there by impactors over the millenia. There might also be trace ammounts of water ice in shadowed craters and the flat plains, but it would be challenging to mine them in meaningful amounts.",,Localized
ISRU/UI/IdentityCard/Vall,Text,,"Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.","Vall est complètement gelée. Nos données géologiques indiquent qu'elle est pratiquement entièrement composée de glace d'eau, avec des traces de glace de dioxyde de carbone et de composés organiques. Il n'y a rien de vraiment intéressant du côté des matières inorganiques - c'est peu probable que l'on trouve de nouvelle roches à ajouter à notre collection. La surface semble relativement récente géologiquement parlant, ce qui suggère que Vall a un mécanisme la renouvelant perpétuellement. Peut-être cache-t'elle un profond océan sous sa croûte de glace.","Vall è completamente ghiacciato. I dati geologici indicano che è composto da ghiaccio d'acqua quasi puro, con tracce di anidride carbonica ghiacciata e sostanze chimiche organiche. Non ci sono rilevamenti inorganici significativi: è improbabile che qui troveremo nuove rocce per la nostra collezione. La superficie sembra essere relativamente recente dal punto di vista geologico, il che suggerisce che Vall possieda un qualche meccanismo che la rinnova perpetuamente. Forse nasconde un profondo oceano sotto la sua crosta ghiacciata.","Vall ist komplett gefroren. Geologische Daten zeigen, dass es fast komplett aus purem Wassereis besteht, mit Spuren von gefrorenem Kohlenstoffdioxid und organischen Chemikalien. Es gibt keine benennenswerte anorganische Messungen- es ist unwahrscheinlich, dass wir hier irgendwelche neuen Steine für unsere Kollektion finden. Die Oberfläche scheint geologisch gesehen relativ jung, was darauf hinweist, dass Vall einen versteckten Mechanismus hat, welcher sie ständig erneuert. Vielleicht versteckt es einen tiefen Ozean unter seiner eisigen Kruste.","Vall está completamente congelado. Los datos geológicos indican que está compuesto casi en su totalidad de hielo de agua prácticamente puro. No hay mediciones significativas de las que hablar; es poco probable que encontremos aquí nuevas rocas para nuestra colección. La superficie parece ser reciente geológicamente hablando, lo que sugiere que Vall tiene algún mecanismo que lo renueva de manera perpetua. Tal vez esconda un profundo océano bajo su congelada corteza.","Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.","Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.","Vall jest kompletnie zamarznięta. Dane geologiczne wskazują, że składa się niemal wyłącznie z czystego lodu wodnego, z domieszkami zamarzniętego dwutlenku węgla oraz związków organicznych. Nie ma tu znaczących ilości materiałów nieorganicznych- mało prawdopodobne, byśmy odnaleźli tu jakiekolwiek nowe skały do naszej kolekcji. Powierzchnia wydaje się stosunkowo młoda, jeżeli chodzi o geologię, co wskazuje, że Vall posiada jakiś mechanizm, który nieustannie ją odnawia. Być może pod jej lodową skorupą skrywa się głęboki ocean.","Валл полностью покрыт льдом. Геологические данные показывают, что он состоит почти из чистого водяного льда с примесями замороженного углекислого газа и органических соединений. Никаких значительных неорганических материалов — похоже, наша коллекция камней здесь не пополнится. Поверхность выглядит геологически молодой, что намекает на какой-то механизм постоянного обновления. Возможно, под ледяной коркой скрывается глубокий океан!",Vall完全被冰封了。地质数据显示，它由近乎纯净的水冰构成，还含有微量冻结的二氧化碳和有机化合物。这里没有值得一提的无机物质检测结果——我们不太可能在这里找到任何新的岩石来收藏。从地质角度来说，其表面相对年轻，这表明Vall存在某种不断更新其表面的机制。或许在其冰壳之下隐藏着一片深海。,"Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.","Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.","Vall be completely frozen. Geological data indicates it be composed of nearly pure water ice, wit' traces of frozen carbon dioxide and organic chemicals. There be no meanin'ful inorganic measurements t' speak o'- it be unlikely we'll find any new rocks fer our collection here. The surface appears to be rela'ively recent geologically speaking, which suggests Vall has some mechanism that be perpetually renewing it. Perhaps it be hidin' a deep ocean under its icy crust.","Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.","Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.","Vall is completely frozen. Geological data indicates it is composed of nearly pure water ice, with traces of frozen carbon dioxide and organic chemicals. There are no meaningful inorganic measurements to speak of- it's unlikely we'll find any new rocks for our collection here. The surface appears to be relatively recent geologically speaking, which suggests Vall has some mechanism that is perpetually renewing it. Perhaps it's hiding a deep ocean under its icy crust.",,Localized
ISRU/UI/UserMessages/UnmetConditions,Text,,No scanner is within its operating range.,Aucun scanner n'est dans sa zone de fonctionnement.,Distanza eccessiva per il rilevamento.,Kein Scanner befindet sich in Betriebsbereiter Reichweite.,Ningún escáner se encuentra dentro del rango operativo.,No scanner is within its operating range.,작동 범위 내에 스캐너가 없습니다.,Brak skanera w obszarze jego operacyjnego zasięgu.,Нет сканера в зоне досягаемости.,没有扫描仪处于工作范围内。,No scanner is within its operating range.,No scanner is within its operating range.,No scanner is within its operating range.,No scanner is within its operating range.,No scanner is within its operating range.,No scanner is within its operating range.,,Localized
ISRU/UI/UserMessages/NoVesselControl,Text,,Insufficient vessel control.,Contrôle insuffisant sur le vaisseau.,Controllo limitato del veicolo.,Unzureichende Steuerung des Raumfahrzeugs.,Control de la nave insuficiente.,Insufficient vessel control.,기체 조작이 부족합니다.,Niewystarczająca kontrola nad statkiem.,Недостаточный контроль аппаратом.,载具已失去控制。,Insufficient vessel control.,Insufficient vessel control.,Insufficient vessel control.,Insufficient vessel control.,Insufficient vessel control.,Insufficient vessel control.,,Localized
ISRU/UI/UserMessages/SwitchToMap,Text,,Switch to map view to see the overlay.,Allez sur la carte pour voir la répartition.,Passa alla visuale mappa per vedere l'overlay.,"Wechsle in die Kartenansicht, um das Overlay zu sehen.",Cambia a la vista de mapa para ver la superposición.,Switch to map view to see the overlay.,오버레이를 보려면 맵뷰로 전환하세요.,Przejdź do widoku mapy aby zobaczyć nakładkę.,Переключитесь в режим карты что бы увидеть распределение ресурсов.,切换至地图视图查看覆盖图层。,Switch to map view to see the overlay.,Switch to map view to see the overlay.,Switch to map view to see the overlay.,Switch to map view to see the overlay.,Switch to map view to see the overlay.,Switch to map view to see the overlay.,,Localized
ISRU/UI/IdentityCard/Kerbol,Text,,"Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol est une sphère colossale de plasma d'hydrogène et d'hélium surchauffé, embrasée par la fournaise à fusion qui brûle en son cœur. Nos capteurs sont saturés : les relevés indiquent un océan infini d'hydrogène ionisé et d'hélium forgé au cœur de l'astre, avec seulement d'infimes traces d'éléments plus lourds. Des champs magnétiques titanesques agitent ce plasma en arcs gigantesques, projetant des éjections de masse coronale et un vent kerbolaire incessant à travers tout le système. On trouve ici plus d'hydrogène brut que dans l'ensemble des planètes et des lunes réunies, et pourtant, pas le moindre gramme n'est à notre portée. Malgré cette abondance inimaginable, c'est le seul astre du système que le KSC ne peut qu'observer, sans jamais pouvoir en exploiter les ressources.","Kerbol è una colossale sfera di plasma di idrogeno ed elio surriscaldato, che risplende grazie alla fornace a fusione nel suo nucleo. I nostri scanner sono praticamente sovraccarichi: le letture mostrano un oceano infinito di idrogeno ionizzato, elio forgiato nel cuore della stella e solo lievissime tracce di elementi più pesanti. Titanici campi magnetici sferzano questo plasma in archi svettanti, scagliando espulsioni di massa coronale e l'incessante vento kerbolare attraverso l'intero sistema. Qui c'è più idrogeno grezzo che in tutti i pianeti e le lune messi insieme... e non un singolo grammo è alla nostra portata. Nonostante la sua inimmaginabile ricchezza, è l'unico corpo celeste del sistema che il KSC potrà solo guardare, senza poterlo mai sfruttare.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol es una esfera colosal de plasma sobrecalentado de hidrógeno y helio, que arde en el horno de fusión de su núcleo. Nuestros escáneres están prácticamente desbordados: las lecturas muestran un océano infinito de hidrógeno ionizado, helio forjado en el corazón de la estrella y solo los rastros más tenues de cualquier elemento más pesado. Campos magnéticos titánicos azotan este plasma formando arcos imponentes, lanzando eyecciones de masa coronal y el incesante viento kerbolar a lo largo de todo el sistema. Aquí hay más hidrógeno en estado puro que en todos los planetas y lunas juntos, y ni un solo gramo está a nuestro alcance. A pesar de su inimaginable abundancia, es el único cuerpo del sistema que el KSC solo puede observar, pero nunca explotar.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Кербол — это колоссальная сфера из перегретой водородно-гелиевой плазмы, пылающей из термоядерной печи в её ядре. Наши сканеры практически не справляются с нагрузкой: показания демонстрируют бескрайний океан ионизированного водорода, гелия, образовавшегося в сердце звезды, и лишь едва заметные следы чего-либо более тяжёлого. Мощные магнитные поля раздувают эту плазму в огромные дуги, выбрасывая корональные выбросы массы и непрекращающийся керболовый ветер по всей системе. Здесь больше чистого водорода, чем на всех планетах и спутниках вместе взятых, и ни один грамм не находится в пределах нашей досягаемости. При всей своей невообразимой щедрости, это единственное тело в системе, которое мы можем только наблюдать, но на котором мы никогда не сможем добывать.",Kerbol是一个由超高温氢氦等离子体构成的巨大球体，其核心的核聚变熔炉使其熊熊燃烧。我们的扫描仪几乎不堪重负：读数显示了一片无尽的电离氢海洋，恒星核心锻造出的氦元素，以及仅能探测到最微弱痕迹的重元素。巨大的磁场将等离子体卷成高耸的弧光，向整个星系抛射出日冕物质抛射与永不停歇的Kerbol太阳风。这里的原始氢比所有行星与卫星的总和还要多——但没有一克是我们能够触及的。尽管它的丰饶难以想象，它却是系统中唯一一个坎巴拉航天中心只能远望、却永远无法采集的天体。,"Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.","Kerbol is a colossal sphere of superheated hydrogen and helium plasma, blazing from the fusion furnace at its core. Our scanners are all but overwhelmed: the readings show an endless ocean of ionized hydrogen, helium forged in the star's heart, and only the faintest traces of anything heavier. Titanic magnetic fields whip this plasma into towering arcs, flinging coronal mass ejections and the ceaseless kerbolar wind out across the whole system. There is more raw hydrogen here than in every planet and moon combined - and not a single gram of it within our reach. For all its unimaginable bounty, it is the one body in the system the KSC can only ever look at, never harvest.",,Localized
ISRU/UI/IdentityCard/Subtitle/Planet,Text,,Planet of {0},Planète de {0},Pianeta di {0},Planet of {0},Planet of {0},Planet of {0},Planet of {0},Planet of {0},Planet of {0},{0}的行星,Planet of {0},Planet of {0},Planet of {0},Planet of {0},Planet of {0},Planet of {0},,Localized
ISRU/UI/IdentityCard/Subtitle/Moon,Text,,Moon of {0},Lune de {0},Luna di {0},Moon of {0},Moon of {0},Moon of {0},Moon of {0},Moon of {0},Moon of {0},{0}的卫星,Moon of {0},Moon of {0},Moon of {0},Moon of {0},Moon of {0},Moon of {0},,Localized
ISRU/UI/IdentityCard/Subtitle/Star,Text,,Star,Étoile,Stella,Star,Star,Star,Star,Star,Star,恒星,Star,Star,Star,Star,Star,Star,,Localized
ISRU/UI/UserMessages/ScannerNotDeployed,Text,,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,没有部署的扫描仪,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,No scanner is deployed.,,Localized
