Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
VAB/PartsPicker/0536-Resource Storage,Text,,Resource Storage,Stockage de ressources,Depositi risorse,Ressourcenlager,Almacenamiento de recursos,資源の貯蔵庫,저장소,Przechowywanie Surowców,Контейнер для Ресурсов,资源储存,Armazenamento de Recursos,Resource Storage,Treasure Hold,складиште ресурса,Resource Storage,Depozitare de Resurse,,Localized
VAB/PartsPicker/0535-Resource Extraction,Text,,Resource Extraction,Extraction de ressources,Sistemi di estrazione,Ressourcenextraktion,Extracción de recursos,資源の抽出,자원 추출,Wydobywanie Surowców,Добыча Ресурсов,资源获取,Extração de Recursos,Resource Extraction,Loot takin',Екстракција ресурса,Resource Extraction,Extracția resurselor,,Localized
Menu/VAB/Boat Launch,Text,,Boat Launch,Lancement de bateau,Rampa di lancio,Boot starten,Grada,ボート打ち上げ,도크 발사,Wodowanie,Запуск корабля,下水码头,Lançamento de barco,載具發射,Boat Launch,лансирање чамца,Boat Launch,Lansare Barcă,,Localized
Menu/VAB/VAB,Text,,VAB,BAV,EAV,FZF,EEV,VAB,VAB,Hangar rakiet,Цех вертикальной сборки,组装大楼,PMV,載具組裝大樓,VAB,VAB,VAB,VAB,,Localized
VAB/DeltaVTool/Situation,Text,,Situation,Situation,Situazione,Situation,Situación,状況,상황,Stan,Условия,情况,Situação,狀況,Situation,Situation,Situation,Situation,,Localized
VAB/DeltaVTool/Stage,Text,,Stage,Étage,Stage,Stufe,Etapa,ステージ,스테이지,Stopień,Ступени,分级,Estágio,分節,Stage,Stage,Stage,Stage,,Localized
VAB/Fuel/ElectricCharge,Text,,Electric Charge,Charge électrique,Carica elettrica,Elektrischer Strom,Carga eléctrica,電力,전력량,Ładunek elektr.,Электроэнергия,电能,Carga elétrica,電量,Electric Charge,Electric Charge,Electric Charge,Electric Charge,,Localized
VAB/PartsPicker/0000-Pod,Text,,Pod,Capsule,Capsule,Kapsel,Cápsula,ポッド,포드,Kapsuła,Командный модуль,指令舱,Cápsula,莢艙,Pod,Pod,Pod,Pod,,Localized
VAB/PartsPicker/0010-Probe,Text,,Probe,Sonde,Sonde,Sonde,Sonda,探査機,위성,Sonda,Зонд,探测器,Sonda,探測器,Probe,Probe,Probe,Probe,,Localized
VAB/PartsPicker/0020-Cockpit,Text,,Cockpit,Cockpit,Abitacoli,Cockpit,Cabina,コックピット,조종석,Kokpit,Кабина,驾驶舱,Cabine,駕駛艙,Cockpit,Cockpit,Cockpit,Cockpit,,Localized
VAB/PartsPicker/0090-Fuel Line,Text,,Fuel Line,Conduite d'ergol,Condotti,Treibstoffleitung,Línea de combustible,燃料配管,연료라인,Przewód paliwowy,Топливопровод,燃料管线,Linha de combustível,燃油管路,Fuel Line,Fuel Line,Fuel Line,Fuel Line,,Localized
VAB/PartsPicker/0110-Solid Fuel Booster,Text,,Solid Fuel Booster,Propulseur à ergol solide,Booster solidi,Festtreibstoff-Booster,Acelerador de combustible sólido,固体燃料ブースター,고체로켓부스터,Silnik pomocniczy na paliwo stałe,Твердотопливный ускоритель,固体燃料助推器,Booster de Combustível Sólido,固態燃料助推器,Solid Fuel Booster,Solid Fuel Booster,Solid Fuel Booster,Solid Fuel Booster,,Localized
VAB/PartsPicker/0120-Jet Engine,Text,,Jet Engine,Moteur de jet,Motori a reazione,Düsentriebwerk,Motor a reacción,ジェットエンジン,제트엔진,Silnik odrzutowy,Реактивный двигатель,喷气式引擎,Motor a jato,噴射引擎,Jet Engine,Jet Engine,Jet Engine,Jet Engine,,Localized
VAB/PartsPicker/0160-Strut,Text,,Strut,Étai,Tiranti,Strebe,Riostra,ストラット,스트럿,Rozpora,Стойка,支柱,Estrutura,支架,Strut,Strut,Strut,Strut,,Localized
VAB/PartsPicker/0170-Clamp,Text,,Clamp,Pince,Supporti di lancio,Klemme,Abrazadera,クランプ,클램프,Zaczep,Зажим,爪钩,Garra,夾鉗,Clamp,Clamp,Clamp,Clamp,,Localized
VAB/PartsPicker/0180-Engine Mount,Text,,Engine Mount,Surface de montage,Supporti motori,Triebwerksaufhängung,Bancada de motor,エンジンマウント,엔진 마운트,Mocowanie silnika,Крепление для двигателей,引擎支架,Suporte para motores,引擎支架,Engine Mount,Engine Mount,Engine Mount,Engine Mount,,Localized
VAB/PartsPicker/0190-Adapter,Text,,Adapter,Adaptateur,Adattatori,Adapter,Adaptador,変換アダプター,어댑터,Przejściówka,Адаптер,转接器,Adaptador,適配器,Adapter,Adapter,Adapter,Adapter,,Localized
VAB/PartsPicker/0200-Beam,Text,,Beam,Rayon / Poutre,Travi,Träger,Haces,ビーム,빔,Belka,Балка,钢梁,Feixe,光束,Beam,Beam,Beam,Beam,,Localized
VAB/PartsPicker/0210-Body,Text,,Body,Corps,Fusoliere,Rumpf,Cuerpo,機体,기체,Korpus,Объект,机身,Corpo,機體,Body,Body,Body,Body,,Localized
VAB/PartsPicker/0220-Panel,Text,,Panel,Panneau,Pannelli,Modul,Panel,パネル,패널,Panel,Панель,结构板,Painel,面板,Panel,Panel,Panel,Panel,,Localized
VAB/PartsPicker/0230-Hub,Text,,Hub,Centre,Nodi,Hub,Concentrador,ハブ,허브,Węzeł,Хаб,集线器,Centro,輪轂,Hub,Hub,Hub,Hub,,Localized
VAB/PartsPicker/0240-Truss,Text,,Truss,Structure de maintien,Tralicci,Traverse,Armazón,トラス,트러스,Kratownica,Ферма,桁架,Treliça,桁架,Truss,Truss,Truss,Truss,,Localized
VAB/PartsPicker/0250-Truss Adapter,Text,,Truss Adapter,Adaptateur de structure de maintien,Adattatori tralicci,Traversen-Adapter,Adaptador de armazón,トラス変換アダプター,트러스 어댑터,Przejściówka kratownicowa,Адаптер ферм,桁架转接器,Adaptador de treliça,桁架適配器,Truss Adapter,Truss Adapter,Truss Adapter,Truss Adapter,,Localized
VAB/PartsPicker/0260-Truss Resizer,Text,,Truss Resizer,Structure de maintien variable,Riduttori tralicci,Traversen-Skalierer,Redimensionador de armazón,トラスリサイザー,트러스 리사이저,Zmieniacz kratownicowy,Соединитель ферм,桁架缩放器,Redimensionador de treliça,桁架尺寸調整器,Truss Resizer,Truss Resizer,Truss Resizer,Truss Resizer,,Localized
VAB/PartsPicker/0270-Tube,Text,,Tube,Tube,Tubi,Röhre,Tubo,チューブ,튜브,Rura,Труба,管路,Tubo,管子,Tube,Tube,Tube,Tube,,Localized
VAB/PartsPicker/0280-Stack Decoupler,Text,,Stack Decoupler,Découpleur vertical,Disaccoppiatori in linea,Stapel-Entkoppler,Desacoplador de etapa,スタックデカプラー,직렬 디커플러,Rozdzielacz osiowy,Поперечный отделитель,分级分离器,Desacoplador de Estágio,堆疊式解耦器,Stack Decoupler,Stack Decoupler,Stack Decoupler,Stack Decoupler,,Localized
VAB/PartsPicker/0290-Stack Separator,Text,,Stack Separator,Séparateur vertical,Separatori in linea,Stapel-Separator,Separador de etapa,スタックセパレーター,직렬 세퍼레이터,Separator osiowy,Пирокольцо,分级切分器,Separador de Estágio,堆疊式分離器,Stack Separator,Stack Separator,Stack Separator,Stack Separator,,Localized
VAB/PartsPicker/0300-Radial Decoupler,Text,,Radial Decoupler,Découpleur radial,Disaccoppiatori radiali,Radial-Entkoppler,Desacoplador radial,ラジアル型デカプラー,방사형 디커플러,Rozdzielacz obwodowy,Продольный отделитель,径向分离器,Desacoplador Radial,徑向解耦器,Radial Decoupler,Radial Decoupler,Radial Decoupler,Radial Decoupler,,Localized
VAB/PartsPicker/0310-Docking Port,Text,,Docking Port,Port d'amarrage,Portelli di attracco,Andockluke,Puerto,ドッキングポート,도킹 포트,Port dokowania,Стыковочный узел,对接口,Porta de acoplagem,對接端口,Docking Port,Docking Port,Docking Port,Docking Port,,Localized
VAB/PartsPicker/0320-Fairing,Text,,Fairing,Carénage,Carenature,Verkleidung,Cofia,フェアリング,페어링,Owiewka,Обтекатель,整流罩,Carenagem,整流罩,Fairing,Fairing,Fairing,Fairing,,Localized
VAB/PartsPicker/0330-Cargo Bay,Text,,Cargo Bay,Soute,Stive di carico,Laderaum,Módulo de carga,カーゴベイ,화물칸,Ładownia,Грузовой отсек,货舱,Compartimento de Carga,貨艙,Cargo Bay,Cargo Bay,Cargo Bay,Cargo Bay,,Localized
VAB/PartsPicker/0340-Crew Cabin,Text,,Crew Cabin,Cabine d'équipage,Cabine equipaggio,Crew-Kabine,Cabina de tripulación,クルーキャビン,객실,Kabina załogowa,Кабина экипажа,乘员舱,Cabine de tripulação,組員機艙,Crew Cabin,Crew Cabin,Crew Cabin,Crew Cabin,,Localized
VAB/PartsPicker/0350-Truss,Text,,Truss,Structure de maintien,Tralicci,Traverse,Armazón,トラス,트러스,Kratownica,Ферма,桁架,Treliça,桁架,Truss,Truss,Truss,Truss,,Localized
VAB/PartsPicker/0360-Nose Cone,Text,,Nose Cone,Coiffe,Ogive,Bugnase,Nariz cónica,ノーズコーン,노즈콘,Stożek dziobowy,Носовой обтекатель,头锥,Cone dianteiro,鼻錐,Nose Cone,Nose Cone,Nose Cone,Nose Cone,,Localized
VAB/PartsPicker/0370-Intake,Text,,Intake,Entrée,Prese d'aria,Einlass,Toma de aire,インテーク,흡기,Wlot,Воздухозаборник,进气,Entrada,進氣口,Intake,Intake,Intake,Intake,,Localized
VAB/PartsPicker/0380-Wing,Text,,Wing,Aile,Ali,Flügel,Ala,翼,날개,Skrzydło,Крыло,机翼,Asa,翼身,Wing,Wing,Wing,Wing,,Localized
VAB/PartsPicker/0390-Stabilizer,Text,,Stabilizer,Stabilisateur,Stabilizzatori,Stabilisator,Estabilizador,スタビライザー,스테빌라이저,Stabilizator,Стабилизатор,稳定器,Estabilizador,穩定儀,Stabilizer,Stabilizer,Stabilizer,Stabilizer,,Localized
VAB/PartsPicker/0400-Control Surface,Text,,Control Surface,Surface de contrôle,Superfici di controllo,Steueroberfläche,Superficie de control,操縦翼面,조종면,Powierzchnia sterowa,Управляющая поверхность,控制面,Superfície de controle,控制面,Control Surface,Control Surface,Control Surface,Control Surface,,Localized
